borrower_id,age,gender,state,business_sector,years_in_business,monthly_income_ngn,pos_txn_count_monthly,pos_txn_volume_ngn_monthly,loan_amount_ngn,loan_tenor_months,interest_rate_monthly_pct,existing_loans_count,collateral_provided,has_bank_account,urban_rural,loan_channel,trade_association_member,mobile_money_active,sim_tenure_months,repayment_history_score,defaulted
BRW100974,25,Female,Kwara,Food & Provisions,2.8,64500,42,89700,42000,3,11.11,0,0,0,Urban,Bank Branch,1,1,66,56.9,0
BRW100975,28,Male,Osun,Services (Salon/Barbing etc.),3.1,96200,41,94000,30000,1,11.01,2,0,0,Urban,Mobile App,0,1,116,89.4,0
BRW100976,22,Male,Abuja (FCT),Transport/Logistics,5.8,57400,83,370000,99000,3,9.51,0,1,0,Urban,POS Agent,0,1,23,76.1,0
BRW100977,45,Male,Anambra,Food & Provisions,2.8,37900,46,80600,58000,6,3.76,1,0,1,Rural,POS Agent,0,0,78,90.7,0
BRW100978,34,Female,Ogun,Trading/Retail,1.4,44500,21,17100,57000,12,8.13,1,0,0,Urban,Mobile App,1,1,38,65.6,0
BRW100979,45,Female,Ogun,Trading/Retail,5.6,37600,73,341300,57000,2,9.07,1,0,1,Urban,POS Agent,0,1,22,100.0,0
BRW100980,46,Male,Kaduna,Transport/Logistics,4.9,57500,76,122900,131000,2,11.24,1,1,1,Rural,POS Agent,0,0,127,73.0,0
BRW100981,51,Male,Anambra,Trading/Retail,7.0,15400,98,298700,35000,2,5.36,0,0,1,Rural,Bank Branch,0,1,17,58.0,0
BRW100982,44,Male,Anambra,Trading/Retail,5.6,51700,71,234600,57000,3,7.59,3,0,0,Urban,Bank Branch,0,1,17,100.0,0
BRW100983,49,Male,Abuja (FCT),Fashion & Tailoring,4.8,44500,62,242900,76000,3,9.45,1,0,1,Urban,POS Agent,0,1,6,55.8,1
BRW100984,46,Female,Plateau,Transport/Logistics,1.2,80400,11,33700,137000,6,11.22,0,0,1,Urban,Bank Branch,0,1,66,58.9,0
BRW100985,49,Male,Plateau,Artisan/Repairs,3.7,22500,44,87700,54000,3,3.69,3,1,1,Urban,Mobile App,0,1,15,29.8,1
BRW100986,47,Male,Delta,Electronics/Phone Accessories,2.5,26100,35,168900,54000,2,3.74,1,0,1,Urban,Bank Branch,0,0,52,86.3,0
BRW100987,33,Female,Osun,Artisan/Repairs,5.5,59500,93,199100,90000,1,6.39,1,0,1,Urban,POS Agent,0,1,79,74.4,1
BRW100988,29,Male,Plateau,Electronics/Phone Accessories,11.1,100300,161,515400,41000,6,3.22,0,1,1,Urban,Mobile App,0,1,34,71.5,0
BRW100989,55,Female,Anambra,Fashion & Tailoring,6.2,45300,98,102100,44000,2,11.35,1,0,1,Urban,Mobile App,0,0,15,83.3,1
BRW100990,34,Female,Ogun,Artisan/Repairs,1.1,43200,8,13900,31000,3,3.8,0,1,1,Rural,POS Agent,0,1,25,100.0,0
BRW100991,44,Female,Anambra,Trading/Retail,4.6,31900,68,101800,67000,1,6.68,0,0,1,Rural,Mobile App,0,1,83,67.1,1
BRW100992,27,Female,Lagos,Agriculture,2.5,50100,45,135600,111000,9,8.53,0,0,0,Rural,POS Agent,0,1,29,100.0,0
BRW100993,38,Male,Kaduna,Artisan/Repairs,5.9,28800,92,270100,56000,3,8.87,0,1,1,Rural,Mobile App,0,0,116,71.5,0
BRW100994,43,Female,Ogun,Fashion & Tailoring,6.6,23600,95,157400,29000,12,7.61,0,1,1,Rural,Mobile App,0,0,63,88.7,0
BRW100995,48,Female,Abuja (FCT),Transport/Logistics,3.6,66000,55,285500,46000,1,3.6,0,0,0,Urban,Mobile App,0,0,146,58.2,0
BRW100996,43,Male,Oyo,Electronics/Phone Accessories,2.8,30400,50,168900,45000,1,3.58,1,0,0,Rural,Bank Branch,0,0,68,46.6,1
BRW100997,35,Female,Edo,Services (Salon/Barbing etc.),4.8,70800,73,357300,135000,9,9.19,1,0,0,Urban,Mobile App,1,0,59,86.1,0
BRW100998,64,Female,Kaduna,Fashion & Tailoring,2.3,47300,36,140900,17000,6,4.18,0,0,1,Urban,POS Agent,0,1,12,42.0,0
BRW100999,42,Female,Ogun,Artisan/Repairs,6.8,83900,119,135700,79000,3,6.85,3,0,1,Rural,Mobile App,0,0,42,92.0,0
BRW101000,56,Female,Lagos,Electronics/Phone Accessories,5.6,27000,102,406200,64000,2,7.94,0,0,0,Rural,POS Agent,0,0,51,95.9,0
BRW101001,53,Male,Enugu,Agriculture,2.7,76000,33,64500,121000,2,4.31,0,0,1,Urban,POS Agent,1,1,82,68.2,0
BRW101002,44,Female,Kano,Transport/Logistics,1.5,49200,20,51800,101000,2,7.8,0,0,1,Urban,Cooperative (Esusu/Ajo),1,1,15,24.3,0
BRW101003,60,Female,Rivers,Artisan/Repairs,4.4,21700,61,323600,10000,12,6.12,2,0,1,Urban,Bank Branch,0,1,17,58.8,0
BRW101004,24,Female,Enugu,Artisan/Repairs,7.7,33000,88,378800,30000,1,3.22,2,1,1,Urban,Mobile App,1,1,64,41.3,1
BRW101005,62,Male,Edo,Food & Provisions,6.5,33500,111,397500,58000,6,8.22,0,0,1,Urban,Bank Branch,0,0,43,95.0,0
BRW101006,58,Female,Ogun,Food & Provisions,1.3,60800,18,27700,46000,12,8.84,0,1,0,Urban,Cooperative (Esusu/Ajo),1,0,53,72.0,0
BRW101007,42,Female,Oyo,Transport/Logistics,5.2,29000,71,87200,47000,2,9.28,0,1,0,Urban,Cooperative (Esusu/Ajo),0,1,17,87.2,0
BRW101008,53,Male,Plateau,Food & Provisions,5.6,24900,91,293700,32000,12,6.32,1,0,1,Urban,Mobile App,0,1,95,74.9,0
BRW101009,42,Female,Kaduna,Fashion & Tailoring,3.2,39200,37,98600,56000,2,7.38,0,0,0,Urban,Bank Branch,0,1,64,68.8,0
BRW101010,30,Female,Kaduna,Services (Salon/Barbing etc.),3.9,81400,65,319600,141000,6,7.12,1,0,0,Urban,Mobile App,0,1,70,100.0,0
BRW101011,56,Female,Lagos,Services (Salon/Barbing etc.),6.2,52500,101,151400,56000,3,9.1,1,0,0,Urban,Mobile App,0,0,26,44.4,0
BRW101012,29,Female,Kaduna,Artisan/Repairs,4.2,41800,54,140900,100000,6,6.37,0,1,1,Urban,Mobile App,0,1,71,75.0,0
BRW101013,33,Male,Oyo,Agriculture,0.5,67600,8,33100,47000,9,7.39,3,0,1,Rural,POS Agent,0,0,30,54.6,0
BRW101014,42,Female,Kaduna,Transport/Logistics,1.9,28700,27,153200,57000,1,4.25,2,0,1,Rural,Bank Branch,0,0,68,59.3,1
BRW101015,58,Female,Rivers,Agriculture,2.7,131100,39,53800,195000,6,7.23,0,1,1,Rural,Mobile App,0,1,99,49.0,0
BRW101016,36,Male,Rivers,Agriculture,2.0,122300,28,147000,269000,2,6.4,1,1,1,Urban,Bank Branch,1,1,14,70.0,0
BRW101017,41,Male,Abuja (FCT),Agriculture,6.7,37800,103,504900,86000,12,10.11,0,0,0,Urban,POS Agent,0,1,50,100.0,0
BRW101018,19,Male,Anambra,Agriculture,5.0,51400,82,329000,20000,3,3.23,0,0,1,Urban,Mobile App,0,1,36,70.0,0
BRW101019,23,Female,Edo,Services (Salon/Barbing etc.),1.2,45900,21,36300,105000,3,6.69,2,0,0,Rural,Mobile App,0,0,66,71.7,0
BRW101020,20,Male,Delta,Transport/Logistics,5.0,36500,61,208300,67000,1,5.59,1,0,0,Rural,Mobile App,0,0,104,60.5,0
BRW101021,21,Female,Enugu,Artisan/Repairs,7.1,80600,110,463100,188000,2,3.76,0,0,0,Urban,POS Agent,1,0,32,99.7,0
BRW101022,59,Female,Anambra,Electronics/Phone Accessories,3.2,21800,45,53100,50000,3,9.89,1,1,1,Urban,POS Agent,0,1,90,72.8,0
BRW101023,58,Female,Ogun,Fashion & Tailoring,4.7,39600,80,389700,36000,3,5.71,2,1,1,Rural,Mobile App,1,1,44,94.1,0
BRW101024,57,Male,Oyo,Agriculture,4.0,64300,55,320200,91000,3,9.0,1,0,1,Urban,Mobile App,0,1,13,41.1,0
BRW101025,20,Female,Plateau,Agriculture,1.5,114300,25,104800,146000,2,4.03,1,0,0,Urban,Mobile App,0,0,89,89.2,0
BRW101026,21,Male,Ogun,Trading/Retail,5.0,102600,86,246200,230000,2,3.83,0,0,0,Urban,Mobile App,0,1,5,57.6,1
BRW101027,31,Female,Plateau,Trading/Retail,2.4,33300,45,209400,70000,2,10.8,0,0,1,Rural,Mobile App,0,0,69,75.5,1
BRW101028,45,Male,Abuja (FCT),Transport/Logistics,9.6,31500,150,474900,77000,6,4.68,0,1,0,Urban,POS Agent,0,1,29,75.7,0
BRW101029,34,Female,Delta,Artisan/Repairs,1.4,38500,19,72100,89000,3,5.23,3,0,1,Urban,Bank Branch,1,0,49,46.6,1
BRW101030,41,Male,Kwara,Fashion & Tailoring,3.7,106400,68,62000,92000,1,9.06,1,0,1,Urban,Mobile App,1,1,12,73.8,0
BRW101031,26,Male,Edo,Transport/Logistics,7.4,60500,97,302200,100000,3,10.51,1,0,1,Urban,Bank Branch,0,1,77,85.3,0
BRW101032,53,Female,Kwara,Agriculture,2.7,231800,35,208600,106000,6,3.29,0,0,1,Rural,Mobile App,0,0,48,59.2,0
BRW101033,33,Female,Kwara,Artisan/Repairs,4.9,68500,70,114900,169000,2,7.03,0,0,1,Urban,POS Agent,0,1,19,74.3,1
BRW101034,21,Female,Edo,Artisan/Repairs,22.8,122300,368,1868300,54000,12,9.09,1,0,0,Urban,Cooperative (Esusu/Ajo),1,0,18,58.9,0
BRW101035,53,Female,Abuja (FCT),Artisan/Repairs,7.0,46000,103,282600,24000,9,5.81,0,0,1,Urban,Mobile App,0,1,50,66.9,0
BRW101036,61,Male,Kwara,Transport/Logistics,5.1,30800,78,174400,52000,6,5.17,1,0,0,Urban,Mobile App,1,0,20,48.9,0
BRW101037,18,Male,Oyo,Services (Salon/Barbing etc.),6.4,181500,127,717000,249000,12,5.61,3,1,1,Rural,POS Agent,0,1,16,44.0,0
BRW101038,38,Female,Plateau,Trading/Retail,5.3,23400,79,252500,20000,3,8.29,2,1,1,Rural,POS Agent,0,0,7,91.1,0
BRW101039,57,Female,Enugu,Food & Provisions,1.8,56400,29,173600,62000,3,4.46,2,0,0,Rural,Cooperative (Esusu/Ajo),0,0,17,62.9,0
BRW101040,51,Female,Kano,Trading/Retail,4.8,51700,70,258800,21000,2,6.89,2,0,1,Rural,Bank Branch,1,0,38,78.9,1
BRW101041,59,Male,Rivers,Services (Salon/Barbing etc.),14.1,35000,203,625600,29000,3,5.93,0,1,1,Urban,Mobile App,0,0,70,58.6,0
BRW101042,37,Female,Abuja (FCT),Trading/Retail,8.5,59000,143,319600,95000,12,3.4,0,1,0,Rural,POS Agent,1,1,21,93.2,0
BRW101043,35,Male,Kwara,Food & Provisions,3.0,44600,38,36800,79000,3,6.62,0,1,1,Urban,Cooperative (Esusu/Ajo),0,1,35,61.7,0
BRW101044,52,Female,Edo,Agriculture,3.3,30000,48,230800,62000,1,10.11,1,0,1,Urban,Mobile App,1,1,69,50.6,1
BRW101045,25,Female,Edo,Artisan/Repairs,14.7,23900,230,603400,37000,9,11.77,0,1,1,Rural,Cooperative (Esusu/Ajo),0,0,50,65.8,0
BRW101046,29,Female,Plateau,Food & Provisions,3.7,61700,58,273400,81000,12,6.87,0,1,1,Urban,Bank Branch,1,1,26,68.2,0
BRW101047,46,Male,Osun,Transport/Logistics,2.7,31500,32,175900,16000,6,8.79,3,0,1,Urban,Mobile App,0,1,75,67.0,0
BRW101048,50,Male,Kwara,Electronics/Phone Accessories,1.9,36300,33,77100,45000,12,3.37,0,0,1,Urban,Bank Branch,0,1,18,78.6,0
BRW101049,23,Male,Kano,Electronics/Phone Accessories,4.3,30800,67,165100,10000,3,6.1,0,0,1,Rural,Cooperative (Esusu/Ajo),0,0,58,51.5,0
BRW101050,42,Male,Kwara,Food & Provisions,2.6,31200,39,233100,18000,6,9.05,3,0,0,Urban,POS Agent,0,1,36,41.6,0
BRW101051,35,Male,Enugu,Fashion & Tailoring,4.1,44600,69,199500,79000,3,4.65,0,1,1,Rural,Mobile App,1,1,19,64.3,0
BRW101052,42,Female,Kwara,Fashion & Tailoring,5.0,24400,69,347700,47000,1,6.85,1,0,1,Urban,Cooperative (Esusu/Ajo),1,1,69,99.1,1
BRW101053,64,Male,Abuja (FCT),Artisan/Repairs,9.2,40700,130,529200,35000,12,10.34,0,1,1,Urban,Mobile App,1,1,100,83.0,0
BRW101054,21,Male,Edo,Electronics/Phone Accessories,3.2,66300,49,51100,83000,3,8.87,1,1,1,Rural,POS Agent,0,1,94,65.0,0
BRW101055,65,Female,Plateau,Transport/Logistics,0.5,67600,3,4900,157000,6,9.63,1,0,1,Rural,POS Agent,0,1,67,100.0,0
BRW101056,39,Male,Rivers,Transport/Logistics,3.1,36700,62,259600,91000,1,7.6,0,0,0,Urban,Mobile App,0,0,60,56.1,1
BRW101057,55,Male,Kwara,Electronics/Phone Accessories,3.2,32300,53,296400,57000,3,11.78,2,1,1,Urban,Bank Branch,0,1,14,72.2,0
BRW101058,38,Female,Kaduna,Agriculture,3.0,92900,41,38600,109000,3,11.7,0,0,0,Urban,Cooperative (Esusu/Ajo),0,1,30,72.3,0
BRW101059,32,Male,Rivers,Trading/Retail,3.6,60400,62,62500,59000,6,7.87,2,1,0,Urban,POS Agent,0,0,27,88.6,0
BRW101060,54,Male,Abuja (FCT),Trading/Retail,0.7,64100,7,14900,55000,12,4.56,0,1,1,Rural,Mobile App,0,1,53,38.5,0
BRW101061,51,Female,Osun,Transport/Logistics,1.4,96400,23,62500,147000,6,7.03,2,1,1,Urban,POS Agent,0,1,88,84.8,0
BRW101062,24,Male,Kano,Electronics/Phone Accessories,2.9,86000,36,67800,176000,6,11.18,2,0,0,Urban,POS Agent,0,1,41,61.7,1
BRW101063,51,Male,Osun,Agriculture,7.0,78600,114,231300,26000,2,3.43,0,0,1,Urban,POS Agent,0,1,33,100.0,0
BRW101064,54,Male,Kaduna,Artisan/Repairs,3.8,18300,55,80400,38000,2,3.93,0,1,1,Urban,POS Agent,0,1,87,100.0,0
BRW101065,36,Male,Osun,Electronics/Phone Accessories,5.6,35300,87,217600,76000,1,7.17,4,1,1,Urban,Mobile App,0,1,10,78.6,1
BRW101066,62,Female,Lagos,Electronics/Phone Accessories,1.2,23000,15,48500,15000,2,7.96,2,1,0,Rural,Cooperative (Esusu/Ajo),0,1,35,46.6,1
BRW101067,48,Male,Delta,Services (Salon/Barbing etc.),2.1,101600,32,172300,210000,3,5.25,1,0,0,Rural,Mobile App,1,0,15,83.5,0
BRW101068,34,Male,Enugu,Fashion & Tailoring,0.1,39900,4,11800,53000,6,5.65,1,0,0,Rural,POS Agent,0,0,38,76.6,0
BRW101069,18,Male,Kwara,Artisan/Repairs,0.6,31800,13,73300,26000,3,5.21,1,1,0,Urban,Mobile App,0,1,1,93.1,0
BRW101070,50,Female,Anambra,Transport/Logistics,13.2,57400,175,668400,103000,3,6.08,1,1,1,Urban,Mobile App,1,0,9,78.2,0
BRW101071,28,Male,Kano,Food & Provisions,1.2,68400,21,88700,52000,6,5.38,0,1,1,Rural,POS Agent,0,0,19,100.0,0
BRW101072,54,Female,Rivers,Artisan/Repairs,1.7,62900,21,117100,65000,6,8.55,0,0,0,Rural,Mobile App,0,0,31,35.7,0
BRW101073,43,Male,Oyo,Artisan/Repairs,2.0,48900,38,58500,85000,6,5.26,0,0,1,Urban,POS Agent,0,0,26,53.4,0
BRW101074,40,Female,Plateau,Services (Salon/Barbing etc.),10.7,93600,149,529000,51000,6,8.47,1,0,0,Urban,Bank Branch,1,0,38,80.8,0
BRW101075,25,Male,Kano,Transport/Logistics,1.2,40300,9,21600,83000,6,5.0,1,0,1,Urban,Bank Branch,1,0,53,34.7,0
BRW101076,52,Male,Kwara,Artisan/Repairs,3.4,21200,47,271400,45000,1,8.57,0,1,1,Urban,Mobile App,1,1,41,58.6,1
BRW101077,25,Female,Enugu,Fashion & Tailoring,2.2,39000,25,137700,50000,9,4.21,0,1,1,Rural,Mobile App,0,1,32,67.3,0
BRW101078,38,Male,Enugu,Food & Provisions,2.6,38200,41,150800,35000,2,6.15,0,1,1,Urban,Cooperative (Esusu/Ajo),1,1,49,52.3,0
BRW101079,58,Female,Osun,Services (Salon/Barbing etc.),1.0,69000,10,31200,172000,3,5.95,1,1,1,Urban,POS Agent,0,1,88,64.4,0
BRW101080,62,Female,Abuja (FCT),Services (Salon/Barbing etc.),2.2,81000,22,50600,32000,1,9.83,1,1,1,Urban,Mobile App,0,0,34,41.0,0
BRW101081,65,Female,Edo,Transport/Logistics,5.9,32000,86,294600,45000,9,5.73,2,0,0,Urban,POS Agent,1,1,10,52.9,0
BRW101082,63,Male,Kwara,Transport/Logistics,3.4,15000,52,223000,34000,6,9.24,1,0,1,Urban,Cooperative (Esusu/Ajo),0,1,68,86.0,0
BRW101083,44,Female,Anambra,Fashion & Tailoring,4.9,143600,84,307200,246000,6,7.02,1,1,1,Urban,POS Agent,0,0,28,63.1,0
BRW101084,27,Male,Osun,Food & Provisions,1.3,54300,21,108400,71000,3,10.87,0,1,1,Urban,Mobile App,0,0,21,100.0,0
BRW101085,58,Female,Kwara,Artisan/Repairs,6.4,15700,93,239800,17000,1,4.52,0,1,1,Urban,POS Agent,1,1,122,67.9,1
BRW101086,56,Female,Osun,Trading/Retail,3.5,19800,76,122200,49000,2,4.74,0,0,1,Urban,Mobile App,0,0,38,66.4,0
BRW101087,65,Female,Enugu,Trading/Retail,2.6,55200,41,217400,85000,12,6.98,1,1,1,Urban,Bank Branch,0,1,39,46.6,0
BRW101088,49,Female,Delta,Transport/Logistics,2.9,36700,38,92000,58000,3,6.33,0,1,1,Urban,POS Agent,0,0,68,70.0,0
BRW101089,24,Female,Anambra,Artisan/Repairs,3.9,96500,55,251300,192000,2,7.09,1,1,1,Urban,Bank Branch,0,1,40,33.1,1
BRW101090,42,Female,Plateau,Electronics/Phone Accessories,3.8,36800,46,56500,86000,2,6.84,0,0,1,Urban,POS Agent,0,0,31,59.5,1
BRW101091,39,Male,Delta,Food & Provisions,9.2,46900,132,630800,50000,12,3.83,1,0,1,Rural,Mobile App,0,0,26,52.3,0
BRW101092,58,Female,Rivers,Trading/Retail,4.0,35100,55,44600,38000,2,9.6,0,1,0,Rural,POS Agent,0,0,35,35.3,0
BRW101093,36,Male,Enugu,Artisan/Repairs,3.9,45300,55,69400,17000,12,3.41,1,0,1,Urban,POS Agent,0,1,50,65.9,0
BRW101094,33,Male,Kano,Fashion & Tailoring,3.2,50500,51,74400,125000,2,11.72,0,0,1,Urban,Mobile App,1,1,29,77.9,1
BRW101095,21,Female,Delta,Agriculture,4.5,102100,64,216300,108000,6,5.85,2,0,1,Urban,POS Agent,0,1,79,60.1,0
BRW101096,58,Male,Edo,Transport/Logistics,6.8,57700,112,198600,89000,1,5.81,1,0,1,Urban,Bank Branch,0,1,29,79.3,1
BRW101097,54,Female,Kwara,Artisan/Repairs,0.6,51300,5,27300,87000,6,4.01,1,1,1,Urban,Mobile App,0,1,124,33.2,0
BRW101098,19,Male,Rivers,Trading/Retail,0.5,73700,7,26900,158000,3,8.89,3,0,1,Rural,Mobile App,0,1,42,38.4,0
BRW101099,38,Male,Anambra,Artisan/Repairs,3.1,100700,52,72100,237000,1,3.23,0,1,1,Urban,POS Agent,0,0,31,21.0,1
BRW101100,41,Female,Kaduna,Transport/Logistics,1.9,23500,37,136700,11000,6,7.32,1,0,0,Urban,POS Agent,0,1,13,58.6,0
BRW101101,40,Male,Ogun,Artisan/Repairs,3.8,34000,52,165300,73000,6,6.92,0,1,1,Urban,POS Agent,0,1,22,69.0,0
BRW101102,62,Female,Osun,Artisan/Repairs,3.8,54800,56,292400,33000,1,8.88,1,0,0,Urban,POS Agent,0,0,12,74.1,0
BRW101103,25,Female,Enugu,Food & Provisions,3.1,49000,53,139700,50000,2,4.61,1,0,0,Urban,Bank Branch,0,1,21,89.0,0
BRW101104,32,Female,Anambra,Fashion & Tailoring,8.1,34900,111,175500,21000,3,8.5,0,0,1,Rural,Mobile App,0,0,22,99.3,0
BRW101105,26,Male,Plateau,Artisan/Repairs,1.7,16700,33,139400,27000,9,10.14,1,0,1,Urban,POS Agent,0,1,18,83.5,0
BRW101106,29,Female,Enugu,Agriculture,2.1,41900,35,193400,41000,3,7.76,0,0,0,Urban,POS Agent,0,0,29,96.2,0
BRW101107,61,Male,Ogun,Transport/Logistics,9.8,60200,146,592700,71000,3,11.86,1,0,0,Urban,Mobile App,0,1,35,46.1,1
BRW101108,63,Male,Enugu,Services (Salon/Barbing etc.),1.2,108200,20,102200,43000,3,5.37,0,1,1,Rural,Bank Branch,1,1,48,73.5,0
BRW101109,20,Male,Kwara,Agriculture,3.0,49800,48,48300,118000,6,9.93,1,0,1,Urban,Mobile App,0,0,47,68.7,1
BRW101110,48,Male,Anambra,Trading/Retail,2.7,49200,40,84600,36000,1,7.83,2,0,0,Urban,POS Agent,1,1,68,61.7,0
BRW101111,29,Male,Delta,Trading/Retail,5.1,31800,71,347200,37000,6,5.46,0,0,1,Urban,POS Agent,0,1,25,55.2,0
BRW101112,27,Male,Rivers,Transport/Logistics,3.4,49100,43,53100,60000,9,6.16,2,0,1,Urban,Mobile App,0,1,58,82.0,0
BRW101113,32,Male,Lagos,Food & Provisions,1.0,37300,18,21300,27000,6,11.42,0,1,1,Rural,POS Agent,1,0,35,55.8,0
BRW101114,27,Female,Lagos,Artisan/Repairs,2.4,66900,29,154600,131000,6,5.69,0,0,1,Urban,Mobile App,0,0,11,72.4,0
BRW101115,41,Male,Anambra,Services (Salon/Barbing etc.),2.1,63000,31,167500,78000,3,6.27,1,0,1,Urban,POS Agent,0,1,22,69.8,0
BRW101116,65,Male,Abuja (FCT),Electronics/Phone Accessories,5.8,106700,86,456800,199000,9,11.23,0,1,1,Urban,POS Agent,1,1,28,80.2,0
BRW101117,46,Male,Rivers,Fashion & Tailoring,9.8,57300,162,894900,120000,1,5.74,1,1,1,Rural,POS Agent,0,1,75,80.5,1
BRW101118,52,Male,Osun,Trading/Retail,8.2,66000,102,235900,36000,1,3.22,1,0,0,Rural,POS Agent,0,0,8,68.9,0
BRW101119,41,Female,Rivers,Artisan/Repairs,3.3,23100,63,190400,56000,6,4.58,0,0,1,Urban,Bank Branch,0,0,37,73.7,0
BRW101120,18,Female,Edo,Trading/Retail,7.1,59000,110,340300,36000,9,9.82,4,0,1,Urban,POS Agent,0,1,79,60.3,0
BRW101121,22,Female,Oyo,Artisan/Repairs,7.2,73600,104,467200,86000,9,3.59,1,0,0,Urban,Bank Branch,1,1,26,24.9,1
BRW101122,30,Female,Lagos,Fashion & Tailoring,11.2,52200,155,233600,124000,6,9.49,0,0,1,Urban,POS Agent,1,1,34,64.5,0
BRW101123,29,Male,Edo,Fashion & Tailoring,0.1,47800,6,22800,54000,6,10.08,0,1,0,Urban,Bank Branch,0,0,30,100.0,0
BRW101124,58,Female,Enugu,Trading/Retail,2.6,44500,34,114300,40000,3,9.42,1,0,1,Urban,POS Agent,1,1,105,89.0,0
BRW101125,58,Male,Delta,Trading/Retail,5.6,121200,75,384100,70000,1,5.74,1,1,1,Urban,POS Agent,1,1,75,70.1,0
BRW101126,58,Male,Osun,Agriculture,2.0,20000,32,71800,21000,1,7.75,1,0,1,Urban,Cooperative (Esusu/Ajo),0,1,111,73.6,0
BRW101127,48,Male,Enugu,Food & Provisions,1.0,97800,13,30900,70000,1,6.97,1,0,1,Rural,POS Agent,0,0,25,62.1,0
BRW101128,44,Male,Kwara,Fashion & Tailoring,1.3,61200,21,84600,32000,2,11.0,1,0,1,Urban,Mobile App,1,0,98,42.8,0
BRW101129,49,Female,Anambra,Food & Provisions,4.7,37500,66,173600,20000,6,11.47,2,0,1,Rural,POS Agent,0,0,79,62.8,0
BRW101130,37,Male,Kaduna,Trading/Retail,2.1,65900,38,150300,107000,3,11.54,2,0,1,Urban,Bank Branch,0,1,90,87.2,0
BRW101131,50,Male,Ogun,Agriculture,1.3,61500,23,80800,88000,1,11.27,1,0,1,Rural,Bank Branch,0,1,37,68.7,0
BRW101132,56,Male,Kaduna,Artisan/Repairs,9.9,28500,151,905800,56000,2,10.0,1,1,0,Urban,Mobile App,1,1,42,47.6,1
BRW101133,54,Female,Plateau,Services (Salon/Barbing etc.),4.6,87800,54,173900,128000,9,9.22,1,0,1,Urban,POS Agent,0,0,22,45.5,0
BRW101134,47,Female,Enugu,Artisan/Repairs,8.9,55000,134,611900,33000,3,5.38,3,1,1,Urban,POS Agent,0,0,23,67.2,0
BRW101135,20,Female,Osun,Electronics/Phone Accessories,2.6,31900,39,127200,58000,1,4.87,0,0,1,Urban,Bank Branch,1,1,26,65.2,1
BRW101136,52,Female,Oyo,Artisan/Repairs,6.5,114500,81,255600,77000,2,3.55,1,0,1,Urban,POS Agent,1,1,49,69.0,0
BRW101137,35,Female,Abuja (FCT),Trading/Retail,1.6,68500,27,39500,121000,9,5.78,0,0,0,Urban,Bank Branch,1,1,50,43.3,0
BRW101138,53,Male,Kano,Artisan/Repairs,2.1,60900,23,106700,96000,6,5.83,1,1,1,Urban,POS Agent,0,1,24,73.3,0
BRW101139,43,Male,Kaduna,Agriculture,2.6,87000,46,214500,29000,3,3.69,2,1,1,Rural,POS Agent,0,1,54,74.2,1
BRW101140,60,Male,Lagos,Services (Salon/Barbing etc.),2.2,49900,34,55200,61000,1,4.05,1,1,1,Urban,Mobile App,0,1,26,56.3,0
BRW101141,34,Male,Plateau,Artisan/Repairs,1.2,79000,22,102100,59000,6,11.06,0,0,0,Rural,Mobile App,0,0,47,89.8,0
BRW101142,62,Female,Kaduna,Services (Salon/Barbing etc.),2.3,76400,37,39400,141000,6,10.32,1,1,1,Rural,POS Agent,0,1,34,77.0,0
BRW101143,58,Male,Kwara,Electronics/Phone Accessories,0.8,36400,11,21600,12000,3,6.1,4,1,1,Urban,POS Agent,0,1,33,61.5,0
BRW101144,33,Male,Ogun,Artisan/Repairs,3.7,45000,55,65500,18000,3,10.57,2,0,1,Urban,POS Agent,1,1,36,77.1,0
BRW101145,41,Female,Kano,Electronics/Phone Accessories,7.7,38100,106,91600,41000,6,8.16,0,0,0,Urban,Bank Branch,0,1,24,58.0,0
BRW101146,43,Male,Kaduna,Transport/Logistics,1.9,105900,44,84500,88000,6,6.94,1,0,0,Urban,Cooperative (Esusu/Ajo),0,1,26,63.4,0
BRW101147,54,Male,Kaduna,Electronics/Phone Accessories,3.1,21800,41,112700,23000,1,6.61,2,0,1,Urban,POS Agent,1,1,26,55.8,0
BRW101148,51,Male,Enugu,Trading/Retail,7.2,59600,108,534100,44000,6,11.16,1,0,1,Urban,POS Agent,0,1,22,65.7,0
BRW101149,58,Female,Kaduna,Food & Provisions,10.1,104300,157,240300,220000,9,6.8,0,0,0,Rural,Mobile App,0,0,78,75.0,0
BRW101150,35,Male,Edo,Services (Salon/Barbing etc.),6.8,25200,91,292600,45000,9,11.8,0,1,0,Rural,Mobile App,0,1,14,44.6,0
BRW101151,42,Male,Abuja (FCT),Electronics/Phone Accessories,3.8,50900,54,189200,104000,6,5.52,3,1,0,Urban,Cooperative (Esusu/Ajo),1,1,69,77.5,0
BRW101152,38,Male,Rivers,Services (Salon/Barbing etc.),5.2,95600,60,243000,164000,6,10.7,0,0,1,Urban,POS Agent,0,1,112,61.4,0
BRW101153,61,Female,Enugu,Fashion & Tailoring,5.6,40300,90,138200,65000,6,7.78,2,1,1,Urban,Bank Branch,1,0,27,74.3,0
BRW101154,32,Male,Delta,Artisan/Repairs,5.3,53200,76,291700,22000,12,7.25,1,0,0,Urban,Bank Branch,1,1,148,72.3,0
